"Reference","Value","Part Num","Description","Qty","Footprint"
"D1,D2","LED","CHANZON 5mm LED","Light emitting diode, yellow","2","LED_THT:LED_D5.0mm"
"J1","Conn_01x04_Socket","JST XH-2.54","01x04 pin JST right-angle connector","1","Connector_JST:JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal"
"R1,R2","120","MFR-25SFTF52-120R  ","Resistor, 0.25 W, 1%","2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"SW1,SW2","SW_SPDT","SPDT SW","Switch, single pole double throw","2","Button_Switch_THT:SW_Push_2P2T_Toggle_CK_PVA2xxH2xxxxxxV2"
"TP1","VBATT","Keystone Electronics 5000","Test point loop, red","1","FahrradTech:TestPoint_Keystone_5000-5004_Miniature"
"TP2","LEFT","Keystone Electronics 5001","Test point loop, white","1","FahrradTech:TestPoint_Keystone_5000-5004_Miniature"
"TP3","RIGHT","Keystone Electronics 5001","Test point loop, white","1","FahrradTech:TestPoint_Keystone_5000-5004_Miniature"
"TP4","GND","Keystone Electronics 5002","Test point loop, black","1","FahrradTech:TestPoint_Keystone_5000-5004_Miniature"
